,Unnamed: 0,PCA,Cell_cls_knn,Cell_cls_res,ME_knn,EMD_neighbors,leiden_ari,sotip_ari,sample
0,0,100,15,1,10,100,0.3647148153439389,0.2866710963154117,151507
1,1,100,15,1,10,200,0.3647148153439389,0.4111580571105512,151507
2,2,100,15,1,10,300,0.3647148153439389,0.3685822323961206,151507
3,3,100,15,1,10,400,0.3647148153439389,0.3686715022289318,151507
4,4,100,15,1,10,500,0.3647148153439389,0.4135519146892838,151507
5,5,100,15,1,10,600,0.3647148153439389,0.3796285030316207,151507
6,6,100,15,1,10,700,0.3647148153439389,0.4164975298792073,151507
7,7,100,15,1,10,800,0.3647148153439389,0.4284910739435553,151507
8,8,100,15,1,10,900,0.3647148153439389,0.4233295091804252,151507
9,9,100,15,1,10,1000,0.3647148153439389,0.379983675358364,151507
10,10,100,15,1,30,100,0.3587542199556437,0.263186686125179,151507
11,11,100,15,1,30,200,0.3587542199556437,0.4253917476498645,151507
12,12,100,15,1,30,300,0.3587542199556437,0.4727463783729478,151507
13,13,100,15,1,30,400,0.3587542199556437,0.3539581216550515,151507
14,14,100,15,1,30,500,0.3587542199556437,0.4489105949867697,151507
15,15,100,15,1,30,600,0.3587542199556437,0.3863233905560198,151507
16,16,100,15,1,30,700,0.3587542199556437,0.2663917968999377,151507
17,17,100,15,1,30,800,0.3587542199556437,0.3139548590094521,151507
18,18,100,15,1,30,900,0.3587542199556437,0.3869005653518635,151507
19,19,100,15,1,30,1000,0.3587542199556437,0.3603196693280357,151507
20,20,100,15,1,50,100,0.363397069595281,0.4293888630546513,151507
21,21,100,15,1,50,200,0.363397069595281,0.4514381302843653,151507
22,22,100,15,1,50,300,0.363397069595281,0.4172891899663169,151507
23,23,100,15,1,50,400,0.363397069595281,0.3874113592309435,151507
24,24,100,15,1,50,500,0.363397069595281,0.4371542358912448,151507
25,25,100,15,1,50,600,0.363397069595281,0.4389576161721786,151507
26,26,100,15,1,50,700,0.363397069595281,0.4798746792440414,151507
27,27,100,15,1,50,800,0.363397069595281,0.4539177268298884,151507
28,28,100,15,1,50,900,0.363397069595281,0.4102337905033648,151507
29,29,100,15,1,50,1000,0.363397069595281,0.4118859329281246,151507
30,30,100,15,2,10,100,0.2685049988619009,0.4330062209380453,151507
31,31,100,15,2,10,200,0.2685049988619009,0.385105841450447,151507
32,32,100,15,2,10,300,0.2685049988619009,0.4450505529307808,151507
33,33,100,15,2,10,400,0.2685049988619009,0.405332004466288,151507
34,34,100,15,2,10,500,0.2685049988619009,0.3882944834975929,151507
35,35,100,15,2,10,600,0.2685049988619009,0.4079067297580544,151507
36,36,100,15,2,10,700,0.2685049988619009,0.4427552597569885,151507
37,37,100,15,2,10,800,0.2685049988619009,0.3620705876937086,151507
38,38,100,15,2,10,900,0.2685049988619009,0.3738196144989104,151507
39,39,100,15,2,10,1000,0.2685049988619009,0.3515794173789597,151507
40,40,100,15,2,30,100,0.2715841408052372,0.4291005527021706,151507
41,41,100,15,2,30,200,0.2715841408052372,0.5034685027599147,151507
42,42,100,15,2,30,300,0.2715841408052372,0.5302452867412843,151507
43,43,100,15,2,30,400,0.2715841408052372,0.4614275409137723,151507
44,44,100,15,2,30,500,0.2715841408052372,0.5001718640411689,151507
45,45,100,15,2,30,600,0.2715841408052372,0.5068121327047034,151507
46,46,100,15,2,30,700,0.2715841408052372,0.4239421678846979,151507
47,47,100,15,2,30,800,0.2715841408052372,0.3788913729160592,151507
48,48,100,15,2,30,900,0.2715841408052372,0.4436455280987456,151507
49,49,100,15,2,30,1000,0.2715841408052372,0.4062165540576217,151507
50,50,100,15,2,50,100,0.2763964272527651,0.3619013716802587,151507
51,51,100,15,2,50,200,0.2763964272527651,0.4853035100394822,151507
52,52,100,15,2,50,300,0.2763964272527651,0.4488026620630836,151507
53,53,100,15,2,50,400,0.2763964272527651,0.4785089347352086,151507
54,54,100,15,2,50,500,0.2763964272527651,0.4549894241937435,151507
55,55,100,15,2,50,600,0.2763964272527651,0.4760748449003268,151507
56,56,100,15,2,50,700,0.2763964272527651,0.4785806686479465,151507
57,57,100,15,2,50,800,0.2763964272527651,0.4035008319260884,151507
58,58,100,15,2,50,900,0.2763964272527651,0.4165209998131751,151507
59,59,100,15,2,50,1000,0.2763964272527651,0.4740109230707863,151507
0,0,100,15,1,10,100,0.3187799256869711,0.2207556949539637,151508
1,1,100,15,1,10,200,0.3187799256869711,0.2968230966517328,151508
2,2,100,15,1,10,300,0.3187799256869711,0.3272636544390813,151508
3,3,100,15,1,10,400,0.3187799256869711,0.3101897473289263,151508
4,4,100,15,1,10,500,0.3187799256869711,0.2467309813825308,151508
5,5,100,15,1,10,600,0.3187799256869711,0.26013293179051,151508
6,6,100,15,1,10,700,0.3187799256869711,0.2796788179685492,151508
7,7,100,15,1,10,800,0.3187799256869711,0.2467501804818731,151508
8,8,100,15,1,10,900,0.3187799256869711,0.2149123992505203,151508
9,9,100,15,1,10,1000,0.3187799256869711,0.2422565800018031,151508
10,10,100,15,1,30,100,0.2764986224538527,0.3476370685132625,151508
