,res,method,val,ME_knn
0,moderate,IGD,0.06472102240435779,5
1,moderate,SOTIP,0.34235543652816525,5
2,moderate,NUCC,-0.007884477460948567,5
3,moderate,IGD,0.04528370314063063,10
4,moderate,SOTIP,0.42784591926633797,10
5,moderate,NUCC,-0.016546790453607282,10
6,moderate,IGD,0.03599026496813676,30
7,moderate,SOTIP,0.5998176983343838,30
8,moderate,NUCC,-0.02676763009267483,30
9,moderate,IGD,0.024206696400706412,50
10,moderate,SOTIP,0.673818362592134,50
11,moderate,NUCC,0.015585278081189537,50
12,over,IGD,-0.001220914416087046,5
13,over,SOTIP,0.3780953855733646,5
14,over,NUCC,0.014034319816484484,5
15,over,IGD,-0.04747131032140004,10
16,over,SOTIP,0.4889844810400077,10
17,over,NUCC,0.019452230489262028,10
18,over,IGD,-0.16443100024178334,30
19,over,SOTIP,0.654970832857042,30
20,over,NUCC,-0.0027069625706290525,30
21,over,IGD,-0.2166774975793063,50
22,over,SOTIP,0.7139164732604422,50
23,over,NUCC,-0.05943317925280441,50
24,extreme,IGD,0.07325135842299912,5
25,extreme,SOTIP,0.3059852530115743,5
26,extreme,NUCC,-0.04551102957766559,5
27,extreme,IGD,0.06739752095530828,10
28,extreme,SOTIP,0.40421439143716925,10
29,extreme,NUCC,-0.04310182471751201,10
30,extreme,IGD,0.05404101095328125,30
31,extreme,SOTIP,0.5872814764229997,30
32,extreme,NUCC,-0.061583678527975166,30
33,extreme,IGD,0.059074568581292196,50
34,extreme,SOTIP,0.6752378479819562,50
35,extreme,NUCC,-0.0922070322290772,50
