,res,method,val,ME_knn
0,moderate,IGD,0.36181361349331637,5
1,moderate,SOTIP,0.9549937104572924,5
2,moderate,NUCC,0.0,5
3,moderate,IGD,0.3115426512203614,10
4,moderate,SOTIP,0.900937462695559,10
5,moderate,NUCC,0.0,10
6,moderate,IGD,0.11818181818181818,30
7,moderate,SOTIP,0.8468812149338255,30
8,moderate,NUCC,-0.20597146021777488,30
9,moderate,IGD,-0.01801874925391118,50
10,moderate,SOTIP,0.8468812149338255,50
11,moderate,NUCC,-0.20597146021777488,50
12,over,IGD,0.6179143806533246,5
13,over,SOTIP,0.8829187134416479,5
14,over,NUCC,0.0,5
15,over,IGD,0.24308621740219885,10
16,over,SOTIP,0.7387687194103584,10
17,over,NUCC,-0.15954480704349314,10
18,over,IGD,-0.3090909090909091,30
19,over,SOTIP,0.7387687194103584,30
20,over,NUCC,-0.21846572437632575,30
21,over,IGD,-0.23424374030084538,50
22,over,SOTIP,0.702731220902536,50
23,over,NUCC,-0.4045199174779453,50
24,extreme,IGD,0.6179143806533246,5
25,extreme,SOTIP,0.8829187134416479,5
26,extreme,NUCC,0.0,5
27,extreme,IGD,0.4824181513244218,10
28,extreme,SOTIP,0.9369749612033815,10
29,extreme,NUCC,-0.6179143806533246,10
30,extreme,IGD,0.24545454545454545,30
31,extreme,SOTIP,0.792824967172092,30
32,extreme,NUCC,-0.6179143806533246,30
33,extreme,IGD,0.18349396085439346,50
34,extreme,SOTIP,0.8468812149338255,50
35,extreme,NUCC,-0.6741998624632421,50
