,res,method,val,ME_knn
0,moderate,IGD,-0.05890696316928613,5
1,moderate,SOTIP,0.24154614537467373,5
2,moderate,NUCC,-0.009857445294328264,5
3,moderate,IGD,0.022140884897166768,10
4,moderate,SOTIP,0.4168571341088462,10
5,moderate,NUCC,-0.05936735186600113,10
6,moderate,IGD,-0.16571277627020972,30
7,moderate,SOTIP,0.6173158888799406,30
8,moderate,NUCC,-0.07136575031999227,30
9,moderate,IGD,-0.2965863537817202,50
10,moderate,SOTIP,0.7191632810427505,50
11,moderate,NUCC,-0.0045665793573204435,50
12,over,IGD,-0.0018611278839566069,5
13,over,SOTIP,0.12903108919237008,5
14,over,NUCC,0.00529770437412363,5
15,over,IGD,0.048405527778758194,10
16,over,SOTIP,0.2800834515242828,10
17,over,NUCC,-0.03842711951505412,10
18,over,IGD,-0.0318397666393949,30
19,over,SOTIP,0.45500206351238903,30
20,over,NUCC,-0.002061472317017058,30
21,over,IGD,0.002468434096550449,50
22,over,SOTIP,0.46131864263302363,50
23,over,NUCC,-0.10429253377259792,50
24,extreme,IGD,0.07059488293688806,5
25,extreme,SOTIP,0.12531623867743202,5
26,extreme,NUCC,-0.07552454260114097,5
27,extreme,IGD,0.18263759254197812,10
28,extreme,SOTIP,0.25682110556816895,10
29,extreme,NUCC,-0.1830791793143166,10
30,extreme,IGD,0.12763903333945995,30
31,extreme,SOTIP,0.4567496907056754,30
32,extreme,NUCC,-0.031004394254795963,30
33,extreme,IGD,0.18643831336603137,50
34,extreme,SOTIP,0.4467909801035001,50
35,extreme,NUCC,-0.16415539175130606,50
