,res,method,val,ME_knn
0,moderate,IGD,-0.7071067811865475,5
1,moderate,SOTIP,0.7999999999999999,5
2,moderate,NUCC,0.0,5
3,moderate,IGD,-0.31622776601683794,10
4,moderate,SOTIP,0.8999999999999998,10
5,moderate,NUCC,0.0,10
6,moderate,IGD,-0.6,30
7,moderate,SOTIP,0.8999999999999998,30
8,moderate,NUCC,0.0,30
9,moderate,IGD,-0.7,50
10,moderate,SOTIP,0.9999999999999999,50
11,moderate,NUCC,0.0,50
12,over,IGD,-0.7071067811865475,5
13,over,SOTIP,0.49999999999999994,5
14,over,NUCC,0.7071067811865475,5
15,over,IGD,0.0,10
16,over,SOTIP,0.7,10
17,over,NUCC,0.0,10
18,over,IGD,-0.3,30
19,over,SOTIP,0.6,30
20,over,NUCC,0.28867513459481287,30
21,over,IGD,-0.3,50
22,over,SOTIP,0.6,50
23,over,NUCC,0.0,50
24,extreme,IGD,0.0,5
25,extreme,SOTIP,0.6,5
26,extreme,NUCC,0.0,5
27,extreme,IGD,0.0,10
28,extreme,SOTIP,0.7,10
29,extreme,NUCC,0.0,10
30,extreme,IGD,0.0,30
31,extreme,SOTIP,0.8999999999999998,30
32,extreme,NUCC,0.0,30
33,extreme,IGD,0.3,50
34,extreme,SOTIP,0.7,50
35,extreme,NUCC,-0.7071067811865475,50
